economy,Country,year,gdp_per_capita,gdp_growth,fdi_inflows,unemployment,poverty_headcount,gini_index,life_expectancy,infant_mortality,hospital_beds,population,literacy_rate,school_enrolment_primary,school_enrolment_secondary,education_expenditure,electricity_access,renewable_energy,forest_area,clean_water_access,female_labour,female_literacy,women_parliament,maternal_mortality,gender_parity,internet_users,sub_region
AFG,Afghanistan,YR2000,174.930991430166,,0.00482760061734038,7.897,,,55.005,110.1,,20130327.0,,21.4578495025635,,,4.4,45.0,1.85278199408184,29.7309664339367,14.294,,,1372.0,,,South Asia
AFG,Afghanistan,YR2001,138.706821676113,-9.4319740700862,0.0241685679088889,7.973,,,55.511,107.0,,20284307.0,,22.1396503448486,14.0404100418091,,9.3,45.6,1.85278199408184,29.7629255070812,14.196,,,1311.0,0.0,0.00472257,South Asia
AFG,Afghanistan,YR2002,178.954088379235,28.6000011706788,1.30694987042884,7.867,,,56.225,103.8,,21378117.0,,73.4013137817383,,,14.1,37.8,1.85278199408184,31.8360773279001,14.152,,,1263.0,,0.0045614,South Asia
AFG,Afghanistan,YR2003,198.871115728727,8.83227780288267,1.27849325196424,7.844,,,57.171,100.6,,22733049.0,,95.3357467651367,13.959529876709,,19.0,36.7,1.85278199408184,33.9086290770251,14.154,,,1201.0,0.544260025024414,0.0878913,South Asia
AFG,Afghanistan,YR2004,221.763653873013,1.41411799339429,3.577104200584,7.794,,,57.81,97.2,,23560654.0,,105.475051879883,19.2143802642822,,23.8,44.2,1.85278199408184,35.9993546342258,14.205,,,1166.0,0.40582001209259,0.105809,South Asia
AFG,Afghanistan,YR2005,254.184249149336,11.2297148272859,4.36867310434287,7.878,,,58.247,93.7,,24404567.0,,99.50390625,20.2735099792481,,28.7,33.9,1.85278199408184,38.1080542246859,14.302,,27.3092369477912,1108.0,0.547689974308014,1.22415,South Asia
AFG,Afghanistan,YR2006,274.218553561575,5.35740324748592,3.41377297323201,7.897,,,58.553,90.1,,25424094.0,,102.284866333008,29.523889541626,,33.5,31.9,1.85278199408184,40.2157630407476,14.452,,27.3092369477912,1069.0,0.573230028152466,2.10712,South Asia
AFG,Afghanistan,YR2007,376.223152003876,13.8263195471281,1.93570171391636,7.841,,,58.956,86.7,,25909852.0,,99.3228988647461,28.8154907226562,,38.4,28.8,1.85278199408184,42.4294955631251,14.67,,27.6859504132231,1032.0,0.567200005054474,1.9,South Asia
AFG,Afghanistan,YR2008,381.73323802844,3.92498381999467,0.45536044478174,7.879,,,59.708,83.3,,26482622.0,,104.445137023926,38.930850982666,,42.4,21.2,1.85278199408184,44.6537922388598,14.944,,27.6859504132231,955.0,0.586019992828369,1.84,South Asia
AFG,Afghanistan,YR2009,452.053705477043,21.3905283926492,0.45188914562189,7.808,,,60.248,80.0,,27466101.0,,99.7054214477539,44.2999496459961,,48.3,16.5,1.85278199408184,46.8885842088645,15.248,,27.3092369477912,925.0,0.609610021114349,3.55,South Asia
AFG,Afghanistan,YR2010,560.621505463146,14.3624414710737,1.20311798981139,7.809,,,60.702,76.9,,28284089.0,,103.48560333252,50.4406204223633,3.4794499874115,42.7,15.2,1.85278199408184,49.1337948047642,15.572,,27.710843373494,893.0,0.625810027122498,4.0,South Asia
AFG,Afghanistan,YR2011,606.694676337726,0.426354776777345,0.293025179616803,7.83,,,61.25,74.0,0.45,29347708.0,31.4500007629394,101.542083740234,52.4474296569824,3.4620099067688,43.2,12.6,1.85278199408184,51.3896718184372,15.893,17.0200004577637,27.710843373494,838.0,0.663450002670288,5.0,South Asia
AFG,Afghanistan,YR2012,651.417134470046,12.7522870926697,0.285440893554571,7.875,,,61.735,71.3,0.46,30560034.0,,106.575317382812,54.372859954834,2.60419988632202,69.1,15.4,1.85278199408184,53.6558094830286,16.208,,27.710843373494,810.0,0.669250011444092,5.45455,South Asia
AFG,Afghanistan,YR2013,637.087099117099,5.60074465863221,0.239801184405551,7.921,,,62.188,68.7,0.46,31622704.0,,107.942840576172,54.8833694458008,3.45445990562439,68.0,16.9,1.85278199408184,55.9321352223542,17.138,,27.710843373494,778.0,0.655330002307892,5.9,South Asia
AFG,Afghanistan,YR2014,625.054941813938,2.72454336219565,0.209664794672203,7.915,,,62.26,66.4,0.46,32792523.0,,109.829452514648,54.2936515808105,3.69521999359131,89.5,19.1,1.85278199408184,58.2185747849882,18.107,,27.710843373494,755.0,0.654020011425018,7.0,South Asia
AFG,Afghanistan,YR2015,565.569730408751,1.45131466066431,0.88400046336123,9.032,,,62.27,64.2,0.44,33831764.0,33.75,106.773551940918,53.1501083374023,3.2558000087738,71.5,17.7,1.85278199408184,60.5153476686209,19.113,17.0900001525879,27.710843373494,741.0,0.6423299908638,8.26,South Asia
AFG,Afghanistan,YR2016,522.082215583898,2.26031420279821,0.516606084523093,10.116,,,62.646,62.3,0.45,34700612.0,,106.784042358398,53.4350395202637,4.54397010803223,97.7,20.2,1.85278199408184,62.8220704134542,20.156,,27.710843373494,702.0,0.645669996738434,11.0,South Asia
AFG,Afghanistan,YR2017,525.469770891619,2.6470032027451,0.274796791572807,11.184,,,62.406,60.4,0.42,35688935.0,,106.54354095459,55.5364303588867,4.34319019317627,97.7,19.5,1.85278199408184,65.142136058033,21.24,,27.710843373494,659.0,0.641690015792847,13.5,South Asia
AFG,Afghanistan,YR2018,491.337221382603,1.18922812944517,0.661572217787196,11.192,,,62.443,58.6,0.4,36743039.0,,107.687660217285,57.3578491210938,,93.4,18.3,1.85278199408184,67.4758694595857,19.805,,,629.0,0.636020004749298,16.8,South Asia
AFG,Afghanistan,YR2019,496.6025042585,3.91160341625552,0.124495985291258,11.187,,,62.941,56.9,0.38,37856121.0,,109.075309753418,,,97.7,18.9,1.85278199408184,69.8226976480641,18.298,,27.8688524590164,601.0,,17.6,South Asia
AFG,Afghanistan,YR2020,510.787063366811,-2.35110067203466,0.0649939571808755,11.71,,,61.454,55.3,0.33,39068979.0,35.9865546430738,,,,97.7,18.2,1.85278199408184,72.1820710205908,16.474,21.6826901223905,27.0161290322581,634.0,,17.0485,South Asia
AFG,Afghanistan,YR2021,356.496214115892,-20.7388393676343,0.144466946606861,12.006,,,60.417,53.6,0.36,40000412.0,37.2700004577637,,,,97.7,20.0,1.85278199408184,74.5545259961346,14.616,22.6000003814697,27.0161290322581,660.0,,16.5143,South Asia
AFG,Afghanistan,YR2022,357.261152798144,-6.24017199240269,,14.1,,,65.617,52.0,0.36,40578842.0,,,,,85.3,20.0,1.85278199408184,76.9392075646596,5.159,26.6000003814697,,551.0,,17.1917,South Asia
AFG,Afghanistan,YR2023,413.757894705303,2.26694373649188,,14.008,,,66.035,50.4,0.35,41454761.0,,,,,85.3,,1.85278199408184,78.926564391722,5.145,,,521.0,,17.7089,South Asia
ARE,United Arab Emirates,YR2000,29865.502347066,10.8527042153779,-0.485281532912816,2.25,,,76.347,8.5,1.97,3493575.0,,,,,100.0,0.1,4.35694170656153,99.6158333255027,33.936,,0.0,8.0,,23.6253,West Asia
ARE,United Arab Emirates,YR2001,27745.1708087672,1.39908503706683,1.14589216998935,2.443,,,77.621,8.3,1.98,3723590.0,,122.869979858398,,,100.0,0.1,4.36802309208674,99.6138918433509,34.533,,0.0,7.0,,26.2718,West Asia
ARE,United Arab Emirates,YR2002,27753.6089526346,2.43345681089617,0.0867813662286139,2.659,,,78.721,8.2,1.95,3956826.0,,118.775428771973,,,100.0,0.1,4.37910447761194,99.6347999053031,35.173,,0.0,5.0,,28.3165,West Asia
ARE,United Arab Emirates,YR2003,29659.5428567811,8.80054081355328,3.42266271097113,2.903,,,79.6,8.0,1.95,4192457.0,,117.259651184082,,,100.0,0.1,4.39018586313714,99.655965555115,35.834,,0.0,5.0,,29.478,West Asia
ARE,United Arab Emirates,YR2004,33376.7152295209,9.56643663767056,6.76715211324682,2.965,,,80.272,7.9,1.76,4428967.0,,110.694122314453,,,100.0,0.1,4.40126724866235,99.6773760456002,36.496,,0.0,4.0,,30.1313,West Asia
ARE,United Arab Emirates,YR2005,38719.3138307623,4.85514119553341,6.03481604123485,3.12,,,80.779,7.7,1.31,4664790.0,90.0299987792969,105.719909667969,,,100.0,0.1,4.41234863418755,99.6990274979322,37.187,91.4700012207031,0.0,4.0,,40.0,West Asia
ARE,United Arab Emirates,YR2006,44342.6048322482,9.83731976924005,5.76543753223521,2.964,,,81.155,7.6,,5009100.0,,100.258071899414,,,100.0,0.1,4.42343001971276,99.7209168610159,38.323,,5.0,3.0,,52.0,West Asia
ARE,United Arab Emirates,YR2007,45854.7325158162,3.18439017324592,5.50043971722883,2.934,,,81.438,7.5,1.48,5624635.0,,,,,100.0,0.1,4.43451140523796,99.7430448059765,39.524,,22.5,3.0,,61.0,West Asia
ARE,United Arab Emirates,YR2008,50054.1700681803,3.19183627331763,1.60487460715228,2.818,,,81.591,7.3,1.4,6302664.0,,,,,100.0,0.1,4.44559279076317,99.7654123439436,40.709,,22.5,3.0,,63.0,West Asia
ARE,United Arab Emirates,YR2009,37803.0663738777,-5.24292190384988,0.447367365845778,2.932,,,81.679,7.2,1.37,6707058.0,,,,,100.0,0.1,4.45667417628837,99.7879969026798,41.791,,22.5,3.0,,64.0,West Asia
ARE,United Arab Emirates,YR2010,44795.2949302268,1.60285004671343,2.85854032456409,2.798,,,81.886,7.0,1.27,6869838.0,,,,,100.0,0.1,4.46775556181357,99.8107941876286,42.861,,22.5,3.0,,68.0,West Asia
