economy,country,year,gdp_per_capita,gdp_growth,fdi_inflows,unemployment,life_expectancy,infant_mortality,hospital_beds,population,school_enrolment_primary,school_enrolment_secondary,education_expenditure,electricity_access,renewable_energy,forest_area,clean_water_access,female_labour,women_parliament,maternal_mortality,gender_parity,internet_users,sub_region,gdp_total,fdi_per_capita,health_index,education_index,environment_index,gender_index,development_index,development_category,life_expectancy_category,environment_category,gdp_category,gender_category
AFG,Afghanistan,2001,138.71,-9.43,0.02,7.973,55.5,107.0,1.66,20284307.0,22.14,14.04,3.378,9.3,45.6,1.853,29.763,14.196,11.808,1311.0,0.0,0.005,South Asia,2813636223.97,0.986,0.564,18.09,25.739,8.668,14.29,Very Poor,Low,Poor,Low Income,Very Poor
AFG,Afghanistan,2002,178.95,28.6,1.31,7.867,56.2,103.8,1.66,21378117.0,73.401,59.422,3.378,14.1,37.8,1.853,31.836,14.152,11.808,1263.0,0.993,0.005,South Asia,3825614037.15,61.278,0.572,66.411,23.83,8.984,28.088,Very Poor,Low,Critical,Low Income,Very Poor
AFG,Afghanistan,2003,198.87,8.83,1.28,7.844,57.2,100.6,1.66,22733049.0,95.336,13.96,3.378,19.0,36.7,1.853,33.909,14.154,11.808,1201.0,0.544,0.088,South Asia,4520921454.63,56.306,0.582,54.648,24.154,8.835,26.911,Very Poor,Low,Critical,Low Income,Very Poor
AFG,Afghanistan,2004,221.76,1.41,3.58,7.794,57.8,97.2,1.66,23560654.0,105.475,19.214,3.378,23.8,44.2,1.853,35.999,14.205,11.808,1166.0,0.406,0.106,South Asia,5224810631.04,151.948,0.588,62.344,27.351,8.806,30.562,Underdeveloped,Low,Poor,Low Income,Very Poor
AFG,Afghanistan,2005,254.18,11.23,4.37,7.878,58.2,93.7,1.66,24404567.0,99.504,20.274,3.378,28.7,33.9,1.853,38.108,14.302,27.309,1108.0,0.548,1.224,South Asia,6203152840.06,179.065,0.593,59.889,24.62,14.053,31.98,Underdeveloped,Low,Critical,Low Income,Very Poor
AFG,Afghanistan,2006,274.22,5.36,3.41,7.897,58.6,90.1,1.66,25424094.0,102.285,29.524,3.378,33.5,31.9,1.853,40.216,14.452,27.309,1069.0,0.573,2.107,South Asia,6971795056.68,134.125,0.597,65.904,24.656,14.111,35.432,Underdeveloped,Low,Critical,Low Income,Very Poor
AFG,Afghanistan,2007,376.22,13.83,1.94,7.841,59.0,86.7,1.66,25909852.0,99.323,28.815,3.378,38.4,28.8,1.853,42.429,14.67,27.686,1032.0,0.567,1.9,South Asia,9747804519.44,74.875,0.602,64.069,24.361,14.308,36.7,Underdeveloped,Low,Critical,Low Income,Very Poor
AFG,Afghanistan,2008,381.73,3.92,0.46,7.879,59.7,83.3,1.66,26482622.0,104.445,38.931,3.378,42.4,21.2,1.853,44.654,14.944,27.686,955.0,0.586,1.84,South Asia,10109211296.06,17.37,0.609,71.688,22.569,14.405,40.146,Underdeveloped,Low,Critical,Low Income,Very Poor
AFG,Afghanistan,2009,452.05,21.39,0.45,7.808,60.2,80.0,1.66,27466101.0,99.705,44.3,3.378,48.3,16.5,1.853,46.889,15.248,27.309,925.0,0.61,3.55,South Asia,12416050957.05,16.384,0.614,72.002,21.747,14.389,42.685,Underdeveloped,Moderate,Critical,Low Income,Very Poor
AFG,Afghanistan,2010,560.62,14.36,1.2,7.809,60.7,76.9,1.66,28284089.0,103.486,50.441,3.479,42.7,15.2,1.853,49.134,15.572,27.711,893.0,0.626,4.0,South Asia,15856625975.18,42.427,0.62,76.964,22.062,14.636,43.199,Underdeveloped,Moderate,Critical,Low Income,Very Poor
